"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"184799","occ","5545","","18110","Borophagus","genus","41196","Late Hemphillian","","10.3","4.9","6294"
"184805","occ","","","18111","Epicyon haydeni","species","44847","Hemphillian","","10.3","4.9","3558"
"184806","occ","","","18111","Borophagus pugnator","species","50648","Hemphillian","","10.3","4.9","3558"
"184808","occ","","","18112","Carpocyon compressus","species","43761","Barstovian","Clarendonian","15.97","10.3","3558"
"184811","occ","5547","","18113","Paratomarctus euthos","species","45458","Miocene","","23.03","5.333","6294"
"184833","occ","","","18118","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"184834","occ","","","18118","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"184835","occ","","","18119","Aelurodon stirtoni","species","51830","Barstovian","","15.97","13.6","3558"
"184840","occ","","","18120","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"184851","occ","","","18121","Aelurodon","genus","41190","Barstovian","","15.97","13.6","3510"
"184852","occ","","","18121","Leptocyon","genus","41218","Barstovian","","15.97","13.6","3510"
"184862","occ","5566","","18123","Cynarctus saxatilis","species","45448","Barstovian","","15.97","13.6","1280"
"184863","occ","","","18123","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"184864","occ","","","18123","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"184871","occ","","","18124","Leptarctus","genus","41119","Barstovian","","15.97","13.6","6193"
"184872","occ","5571","","18124","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"184873","occ","","","18124","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"184874","occ","","","18124","Ischyrocyon","genus","41287","Barstovian","","15.97","13.6","6193"
"184875","occ","","","18124","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"184876","occ","","","18124","Plionictis","genus","41155","Barstovian","","15.97","13.6","6193"
"184897","occ","","","18125","Aelurodon mcgrewi","species","43769","Barstovian","","15.97","13.6","3558"
"184901","occ","5581","","18126","Plesiosorex","genus","40440","Late Hemphillian","","10.3","4.9","6294"
"184902","occ","","","18126","Paracryptotis","genus","40479","Late Hemphillian","","10.3","4.9","3510"
"184924","occ","30185","","18126","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","52058"
"184925","occ","5587","","18126","Borophagus","genus","41196","Late Hemphillian","","10.3","4.9","6294"
"184926","occ","","","18126","Agriotherium","genus","41303","Late Hemphillian","","10.3","4.9","3510"
"184927","occ","","","18126","Plesiogulo lindsayi","species","50454","Late Hemphillian","","10.3","4.9","3510"
"184928","occ","","","18126","Trigonictis","genus","41178","Late Hemphillian","","10.3","4.9","3510"
"184929","occ","","","18126","Pliotaxidea garberi","species","50608","Late Hemphillian","","10.3","4.9","3510"
"184930","occ","","","18126","Buisnictis schoffi","species","44728","Late Hemphillian","","10.3","4.9","3510"
"184931","occ","","","18126","Brachyopsigale dubius","species","44657","Late Hemphillian","","10.3","4.9","3510"
"184932","occ","","","18126","Martinogale alveodens","species","47927","Late Hemphillian","","10.3","4.9","3510"
"184933","occ","","","18126","Mionictis","genus","41138","Late Hemphillian","","10.3","4.9","3510"
"184934","occ","","","18126","Machairodus","genus","41059","Late Hemphillian","","10.3","4.9","3510"
"184958","occ","","","18130","Mephitini","tribe","90658","Clarendonian","","13.6","10.3","3082"
"184959","occ","5591","","18130","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"184960","occ","5592","","18130","Caninae","subfamily","90655","Clarendonian","","13.6","10.3","6294"
"184968","occ","","","18131","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"184969","occ","","","18132","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"184971","occ","","","18134","Barbourofelis whitfordi","species","46437","Early Clarendonian","","13.6","10.3","6193"
"184972","occ","","","18134","Cynarctus crucidens","species","45442","Early Clarendonian","","13.6","10.3","3558"
"184973","occ","","","18134","Aelurodon taxoides","species","43778","Early Clarendonian","","13.6","10.3","3558"
"184974","occ","","","18134","Paratomarctus euthos","species","45458","Early Clarendonian","","13.6","10.3","3558"
"184975","occ","","","18134","Epicyon saevus","species","44881","Early Clarendonian","","13.6","10.3","3558"
"184976","occ","5596","","18134","Protoprocyon savagei","species","51066","Early Clarendonian","","13.6","10.3","6294"
"184985","occ","","","18135","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","3558"
"184986","occ","","","18135","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","1032"
