"216904","occ","","","22074","Columba","genus","39354","Pleistocene","Holocene","2.588","0","5325"
"216905","occ","","","22074","Columbidae","family","39353","Pleistocene","Holocene","2.588","0","5325"
"217223","occ","","","22148","Aves","class","36616","Miocene","Pliocene","23.03","2.588","5283"
"217477","occ","","","22188","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5283"
"217575","occ","","","22219","Pelecaniformes","order","36634","Late Miocene","","11.608","5.333","5419"
"217578","occ","","","22219","Dege hendeyi","species","106250","Late Miocene","","11.608","5.333","5419"
"217596","occ","","","22220","Struthio","genus","39278","Miocene","Pliocene","23.03","2.588","5401"
"217620","occ","","","22221","Struthio","genus","39278","Zanclean","","5.333","3.6","5391"
"217621","occ","","","22221","Accipitridae","family","39323","Zanclean","","5.333","3.6","5391"
"217624","occ","","","22221","Aves","class","36616","Zanclean","","5.333","3.6","5391"
"217632","occ","","","22221","Phasianidae","family","39340","Zanclean","","5.333","3.6","5391"
"217637","occ","","","22221","Puffinus","genus","39702","Zanclean","","5.333","3.6","5391"
"217638","occ","","","22221","Anatidae","family","39624","Zanclean","","5.333","3.6","5391"
"217640","occ","","","22221","Passeriformes","order","39441","Zanclean","","5.333","3.6","5391"
"217641","occ","","","22221","Gruidae","family","39499","Zanclean","","5.333","3.6","5391"
"217643","occ","","","22221","Columbidae","family","39353","Zanclean","","5.333","3.6","5391"
"217645","occ","","","22221","Inguza predemersus","species","106296","Zanclean","","5.333","3.6","5391"
"217651","occ","","","22221","Ciconiidae","family","39634","Zanclean","","5.333","3.6","5391"
"217660","occ","","","22221","Pachyptila salax","species","173505","Zanclean","","5.333","3.6","5391"
"217661","occ","","","22221","Procellariiformes","order","36628","Zanclean","","5.333","3.6","5391"
"217662","occ","","","22221","Rallidae","family","39513","Zanclean","","5.333","3.6","5391"
"217670","occ","","","22221","Oceanites zaloscarthmus","species","336378","Zanclean","","5.333","3.6","5391"
"217673","occ","","","22221","Psittaciformes","order","39357","Zanclean","","5.333","3.6","5391"
"217688","occ","","","22222","Aves","class","36616","Zanclean","","5.333","3.6","5423"
"217694","occ","","","22222","Phasianidae","family","39340","Zanclean","","5.333","3.6","5423"
"217704","occ","","","22222","Inguza predemersus","species","106296","Zanclean","","5.333","3.6","5423"
"217711","occ","","","22222","Pachyptila salax","species","173505","Zanclean","","5.333","3.6","5423"
"217716","occ","","","22222","Oceanites zaloscarthmus","species","336378","Zanclean","","5.333","3.6","5423"
"217718","occ","","","22222","Struthio","genus","39278","Zanclean","","5.333","3.6","5423"
"217719","occ","","","22222","Apodidae","family","39423","Zanclean","","5.333","3.6","5423"
"217720","occ","","","22222","Pachyptila","genus","39699","Zanclean","","5.333","3.6","5423"
"217943","occ","","","22236","Anseriformes","order","39620","Tortonian","Piacenzian","11.62","2.588","5448"
"217959","occ","","","22237","Struthio","genus","39278","Late Miocene","Piacenzian","11.608","2.588","8636"
"218056","occ","","","22243","Struthio","genus","39278","Tortonian","Piacenzian","11.62","2.588","8636"
"218283","occ","","","22272","Struthio","genus","39278","Pleistocene","","2.588","0.0117","5569"
"218614","occ","","","22316","Aves","class","36616","Messinian","","7.246","5.333","5560"
"218736","occ","","","22337","Aves","class","36616","Calabrian","","1.806","0.781","5275"
"218789","occ","","","22342","Aves","class","36616","Gelasian","Calabrian","2.588","0.781","4454"
"219055","occ","","","22464","Struthio","genus","39278","Calabrian","","1.806","0.781","4784"
"219061","occ","","","22477","Aves","class","36616","Pliocene","","5.333","2.588","5294"
"219311","occ","","","22506","Anatidae","family","39624","Pliocene","","5.333","2.588","5264"
"219312","occ","","","22506","Aves","class","36616","Pliocene","","5.333","2.588","5264"
"219352","occ","","","22508","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5225"
"219354","occ","","","22508","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5225"
"219355","occ","","","22508","Anser","genus","83424","Pleistocene","","2.588","0.0117","5225"
"219356","occ","","","22508","Tadorna","genus","39631","Pleistocene","","2.588","0.0117","5225"
"219357","occ","","","22508","Anas platyrhynchos","species","83434","Pleistocene","","2.588","0.0117","5225"
"219358","occ","","","22508","Anas","genus","67686","Pleistocene","","2.588","0.0117","5225"
"219359","occ","","","22508","Aythya","genus","83440","Pleistocene","","2.588","0.0117","5225"
"219360","occ","","","22508","Mergus merganser","species","336064","Pleistocene","","2.588","0.0117","5225"
"219361","occ","","","22508","Pandion","genus","39329","Pleistocene","","2.588","0.0117","5225"
"219362","occ","","","22508","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5225"
"219363","occ","","","22508","Anas","genus","67686","Pleistocene","","2.588","0.0117","5225"
"219382","occ","","","22513","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5225"
"219383","occ","","","22513","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5225"
"219392","occ","","","22516","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5225"
"219430","occ","","","22531","Aquila chrysaetos","species","94489","Pleistocene","","2.588","0.0117","5225"
"219457","occ","","","22536","Anas platyrhynchos","species","83434","Pleistocene","Holocene","2.588","0","5225"
"219467","occ","","","22538","Grus grus","species","105609","Pleistocene","Holocene","2.588","0","5225"
"219473","occ","","","22539","Anser albifrons","species","335665","Pleistocene","Holocene","2.588","0","5225"
"219498","occ","","","22544","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5225"
"219501","occ","","","22544","Phalacrocorax carbo","species","336369","Pleistocene","","2.588","0.0117","5225"
"219502","occ","","","22544","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5225"
"219503","occ","","","22544","Phoenicopterus","genus","39594","Pleistocene","","2.588","0.0117","5225"
"219504","occ","","","22544","Anas platyrhynchos","species","83434","Pleistocene","","2.588","0.0117","5225"
"219505","occ","","","22544","Anas","genus","67686","Pleistocene","","2.588","0.0117","5225"
"219506","occ","","","22544","Mergus serrator","species","83462","Pleistocene","","2.588","0.0117","5225"
"219507","occ","","","22544","Mergus","genus","39627","Pleistocene","","2.588","0.0117","5225"
"219508","occ","","","22544","Milvus","genus","191573","Pleistocene","","2.588","0.0117","5225"
"219509","occ","","","22544","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5225"
"219511","occ","","","22544","Anas","genus","67686","Pleistocene","","2.588","0.0117","5225"
"219518","occ","","","22545","Anas acuta","species","83435","Pleistocene","","2.588","0.0117","5225"
"219520","occ","","","22545","Phalacrocorax carbo","species","336369","Pleistocene","","2.588","0.0117","5225"
"219521","occ","","","22545","Ardea cinerea","species","83488","Pleistocene","","2.588","0.0117","5225"
"219522","occ","","","22545","Anser albifrons","species","335665","Pleistocene","","2.588","0.0117","5225"
"219523","occ","","","22545","Tadorna","genus","39631","Pleistocene","","2.588","0.0117","5225"
"219524","occ","","","22545","Anas platyrhynchos","species","83434","Pleistocene","","2.588","0.0117","5225"
"219525","occ","","","22545","Anas","genus","67686","Pleistocene","","2.588","0.0117","5225"
"219526","occ","","","22545","Aythya","genus","83440","Pleistocene","","2.588","0.0117","5225"
"219527","occ","","","22545","Mergus merganser","species","336064","Pleistocene","","2.588","0.0117","5225"
"219528","occ","","","22545","Mergus serrator","species","83462","Pleistocene","","2.588","0.0117","5225"
"219529","occ","","","22545","Mergus","genus","39627","Pleistocene","","2.588","0.0117","5225"
"219530","occ","","","22545","Numenius","genus","83476","Pleistocene","","2.588","0.0117","5225"
"219531","occ","","","22545","Anas crecca","species","133772","Pleistocene","","2.588","0.0117","5225"
"219532","occ","","","22545","Branta","genus","83426","Pleistocene","","2.588","0.0117","5225"
"219737","occ","","","22592","Struthio","genus","39278","Messinian","","7.246","5.333","5649"
"219767","occ","","","22593","Struthio","genus","39278","Gelasian","","2.588","1.806","4948"
"219790","occ","","","22595","Struthio","genus","39278","Gelasian","","2.588","1.806","4659"
"219861","occ","","","22627","Struthio","genus","39278","Calabrian","","1.806","0.781","4478"
"219881","occ","","","22628","Struthio","genus","39278","Early Pleistocene","","2.588","0.781","5653"
"220030","occ","","","22660","Aves","class","36616","Pliocene","","5.333","2.588","4923"
"220045","occ","","","16296","Coraciiformes","order","39368","Bridgerian","","50.3","46.2","5778"
"220046","occ","","","16296","Presbyornis","genus","39622","Bridgerian","","50.3","46.2","5778"
"220047","occ","","","16296","Strigiformes","order","39397","Bridgerian","","50.3","46.2","5778"
"220053","occ","","","17805","Anatidae","family","39624","Harrisonian","","24.8","20.43","5761"
"220135","occ","","","22703","Aves","class","36616","Aquitanian","Miocene","23.03","5.333","5927"
"220175","occ","","","22712","Larus","genus","36644","Piacenzian","","3.6","2.588","5666"
"220176","occ","","","22712","Stercorarius","genus","36648","Piacenzian","","3.6","2.588","5666"
"220178","occ","","","22712","Egretta","genus","142800","Piacenzian","","3.6","2.588","5666"
"220179","occ","","","22712","Anabernicula","genus","83430","Piacenzian","","3.6","2.588","5666"
"220180","occ","","","22712","Recurvirostra","genus","39588","Piacenzian","","3.6","2.588","5666"
"220181","occ","","","22712","Calidris","genus","83484","Piacenzian","","3.6","2.588","5666"
"220182","occ","","","22712","Calidris","genus","83484","Piacenzian","","3.6","2.588","5666"
"220247","occ","","","22731","Hesperornithiformes","order","36617","Middle Cenomanian","","99.6","93.5","5932"
"220299","occ","","","21340","Struthio","genus","39278","Serravallian","","13.82","11.62","4655"
"220300","occ","","","21340","Accipitridae","family","39323","Serravallian","","13.82","11.62","4655"
"220458","occ","","","21872","Accipitridae","family","39323","Pleistocene","Holocene","2.588","0","5220"
"220461","occ","","","21872","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5220"
"220495","occ","","","21882","Aves","class","36616","Holocene","","0.0117","0","5221"
"220507","occ","","","21883","Aves","class","36616","Pleistocene","Holocene","2.588","0","5221"
"220818","occ","","","21931","Aves","class","36616","Pleistocene","","2.588","0.0117","5241"
"220829","occ","","","21931","Struthio camelus","species","223891","Pleistocene","","2.588","0.0117","5241"
"220997","occ","","","21950","Struthio camelus","species","223891","Pleistocene","Holocene","2.588","0","5249"
"221077","occ","","","22333","Francolinus","genus","173506","Pliocene","Pleistocene","5.333","0.0117","4884"
"221080","occ","","","22333","Aves","class","36616","Pliocene","Pleistocene","5.333","0.0117","4884"
"221102","occ","","","22333","Coturnix","genus","143789","Pliocene","Pleistocene","5.333","0.0117","4884"
"221103","occ","","","22333","Turnix","genus","39348","Pliocene","Pleistocene","5.333","0.0117","4884"
"221104","occ","","","22333","Passer","genus","99164","Pliocene","Pleistocene","5.333","0.0117","4884"
"221105","occ","","","22333","Ploceus","genus","158472","Pliocene","Pleistocene","5.333","0.0117","4884"
"221113","occ","","","22333","Tyto","genus","39409","Pliocene","Pleistocene","5.333","0.0117","4884"
"221119","occ","","","22334","Aves","class","36616","Pliocene","Pleistocene","5.333","0.0117","4885"
"221226","occ","","","22471","Struthionidae","family","39276","Gelasian","Calabrian","2.588","0.781","4952"
"221279","occ","","","22628","Phalacrocorax","genus","39689","Early Pleistocene","","2.588","0.781","5653"
"223788","occ","","","21627","Aves","class","36616","Gelasian","","2.588","1.806","4486"
"224274","occ","","","21750","Aves","class","36616","Gelasian","","2.588","1.806","4768"
"224622","occ","","","21798","Francolinus","genus","173506","Piacenzian","","3.6","2.588","4451"
"224625","occ","","","21798","Numida","genus","99148","Piacenzian","","3.6","2.588","4451"
"224645","occ","","","21799","Numida","genus","99148","Piacenzian","","3.6","2.588","4451"
"224670","occ","","","21800","Francolinus","genus","173506","Piacenzian","","3.6","2.588","4451"
"224729","occ","","","21804","Francolinus","genus","173506","Gelasian","","2.588","1.806","4451"
"224730","occ","","","21804","Numida","genus","99148","Gelasian","","2.588","1.806","4451"
"224736","occ","","","21804","Streptopelia","genus","158293","Gelasian","","2.588","1.806","4451"
"224759","occ","","","21805","Francolinus","genus","173506","Gelasian","","2.588","1.806","4451"
"224779","occ","","","21806","Francolinus","genus","173506","Piacenzian","","3.6","2.588","4451"
"224780","occ","","","21806","Numida","genus","99148","Piacenzian","","3.6","2.588","4451"
"224783","occ","","","21806","Francolinus","genus","173506","Piacenzian","","3.6","2.588","4451"
"224830","occ","","","21810","Francolinus","genus","173506","Piacenzian","","3.6","2.588","4451"
"224835","occ","","","21810","Streptopelia","genus","158293","Piacenzian","","3.6","2.588","4451"
"224857","occ","","","21811","Francolinus","genus","173506","Piacenzian","","3.6","2.588","4451"
"224961","occ","","","21822","Aves","class","36616","Calabrian","","1.806","0.781","4867"
"224991","occ","","","21823","Accipitridae","family","39323","Pleistocene","","2.588","0.0117","4867"
"225023","occ","","","21824","Aves","class","36616","Early Pleistocene","","2.588","0.781","4896"
"225066","occ","","","21824","Plataleidae","family","39563","Early Pleistocene","","2.588","0.781","4896"
"225109","occ","","","21825","Struthio","genus","39278","Pleistocene","","2.588","0.0117","4892"
"225111","occ","","","21825","Aves","class","36616","Pleistocene","","2.588","0.0117","4892"
"225184","occ","","","21826","Numida","genus","99148","Pliocene","Pleistocene","5.333","0.0117","4868"
"225200","occ","","","21827","Aves","class","36616","Pliocene","","5.333","2.588","4895"
"225211","occ","","","21827","Aves","class","36616","Pliocene","","5.333","2.588","4895"
"225241","occ","","","21828","Aves","class","36616","Pleistocene","","2.588","0.0117","4888"
"225262","occ","","","21828","Plataleidae","family","39563","Pleistocene","","2.588","0.0117","4888"
"225275","occ","","","21828","Aves","class","36616","Pleistocene","","2.588","0.0117","4888"
"225281","occ","","","21828","Phasianidae","family","39340","Pleistocene","","2.588","0.0117","4888"
"225282","occ","","","21828","Aves","class","36616","Pleistocene","","2.588","0.0117","4888"
"225283","occ","","","21828","Aves","class","36616","Pleistocene","","2.588","0.0117","4888"
"225284","occ","","","21828","Aves","class","36616","Pleistocene","","2.588","0.0117","4888"
"225304","occ","","","21829","Struthio","genus","39278","Pleistocene","","2.588","0.0117","4895"
"225320","occ","","","21829","Plataleidae","family","39563","Pleistocene","","2.588","0.0117","4895"
"225331","occ","","","21829","Aves","class","36616","Pleistocene","","2.588","0.0117","4895"
"225332","occ","","","21829","Aves","class","36616","Pleistocene","","2.588","0.0117","4895"
"225333","occ","","","21829","Aves","class","36616","Pleistocene","","2.588","0.0117","4895"
"225334","occ","","","21829","Aves","class","36616","Pleistocene","","2.588","0.0117","4895"
