Helonetta,Helonetta brodkorbi,3.35,3.35
Sula,Sula sula,0.00585,0.00585
Melospiza,Melospiza melodia,0.00585,3.35
Volgavis,Volgavis marina,68.3,68.3
Moris,Moris reyana,0.156,1.29985
Kuntur,Kuntur cardenasi,9.433,9.433
Bauxitornis,Bauxitornis mindszentyae,84.94999999999999,84.94999999999999
Podiceps,Podiceps dixi,0.156,0.156
Manuherikia,Manuherikia minuta,17.45,17.45
Accipiter,Accipiter cooperi,0.06885,0.06885
Pelecanus,Pelecanus grandiceps,0.06885,0.06885
Colymbus,Colymbus nigricollis,0.063,1.29985
Gracilornis,Gracilornis jiufotangensis,119.0,119.0
Aquatilavipes,Aquatilavipes izumiensis,131.15,131.15
Papasula,Papasula abbotti,0.00585,0.00585
Confuciusornis,Confuciusornis dui,126.22999999999999,126.22999999999999
Pachydyptes,Pachydyptes ponderosus,35.15,35.15
Corvus,Corvus wetmorei,1.29985,1.29985
Fulmarus,Fulmarus glacialis,0.00585,1.29985
Dromaius,Dromaius novaehollandiae,0.06885,2.7295000000000003
Spheniscus,Spheniscus chilensis,3.0940000000000003,3.0940000000000003
Teviornis,Teviornis gobiensis,74.8,74.8
Cnemiornis,Cnemiornis calcitrans,0.063,0.06885
Phalacrocorax,Phalacrocorax carbo,0.00585,1.29985
Buteo,Buteo lineatus,0.06885,1.29985
Inkayacu,Inkayacu paracasensis,35.95,35.95
Ramphastosula,Ramphastosula ramirezi,6.2895,6.2895
Palaeocrex,Palaeocrex fax,35.55,35.55
Gansus,Gansus yumenensis,119.0,119.0
Eostega,Eostega lebedinskyi,44.55,44.55
Longusunguis,Longusunguis kurochkini,119.0,119.0
Macrodontopteryx,Macrodontopteryx oweni,44.55,51.9
Contopus,Contopus virens,0.06885,0.06885
Platycercus,Platycercus elegans,0.00585,0.00585
Uhangrichnus,Uhangrichnus chuni,77.85,112.75
Pterodroma,Pterodroma lessonii,4.4665,4.4665
Palaeospheniscus,Palaeospheniscus wimani,21.735,21.735
Matanas,Matanas enrighti,17.45,17.45
Corvus,Corvus corax,0.00585,1.29985
Palaeotodus,Palaeotodus itardiensis,31.0,31.0
Archaeornithipus,Archaeornithipus meijidei,132.0,132.0
Arthrodytes,Arthrodytes andrewsi,19.5,19.5
Eleutherornis,Eleutherornis helveticus,39.65,39.65
Pelecanus,Pelecanus occidentalis,0.06885,0.06885
Calidris,Calidris melanotos,0.06885,4.4665
Chen,Chen caerulescens,0.06885,1.29985
Ardea,Ardea cinerea,1.29985,4.4665
Cepphus,Cepphus columba,0.00585,0.06885
Phalacrocorax,Phalacrocorax longipes,3.9605,4.4665
Pelagornis,Pelagornis longirostris,19.5,19.5
Phaps,Phaps chalcoptera,0.00585,0.063
Limnofregata,Limnofregata azygosternon,53.05,53.05
Somateria,Somateria mollissima,0.00585,4.4665
Patagonichnornis,Patagonichnornis venetiorum,68.3,68.3
Podiceps,Podiceps discors,3.35,3.35
Oceanodroma,Oceanodroma hubbsi,8.470500000000001,8.470500000000001
Marambiornis,Marambiornis exilis,35.95,42.9
Porzana,Porzana keplerorum,0.00585,0.00585
Messelirrisor,Messelirrisor grandis,44.5,44.5
Neocathartes,Neocathartes grallator,35.55,35.55
Ornimegalonyx,Ornimegalonyx oteroi,1.29985,1.29985
Diomedeoides,Diomedeoides lipsiensis,31.0,31.15
Paraprefica,Paraprefica major,44.5,44.5
Hwangsanipes,Hwangsanipes choughi,77.85,77.85
Mancalla,Mancalla lucasi,3.057,4.4665
Ajaia,Ajaia chione,1.05,1.05
Miomancalla,Miomancalla howardi,6.2895,6.2895
Explorornis,Explorornis nessovi,83.25,83.25
Sceloglaux,Sceloglaux albifacies,0.06885,1.294
Uria,Uria brodkorbi,9.433,9.433
Duntroonornis,Duntroonornis parvus,26.25,26.25
Grallistrix,Grallistrix orion,0.06885,0.06885
Amplibuteo,Amplibuteo hibbardi,0.06885,0.06885
Matuku,Matuku otagoense,17.45,17.45
Rapaxavis,Rapaxavis pani,119.0,119.0
Phoenicopterus,Phoenicopterus floridanus,4.4665,14.785
Ambiortus,Ambiortus dementjevi,128.95,128.95
Leucocarbo,Leucocarbo carunculatus,0.06885,0.06885
Promilio,Promilio floridanus,18.2,18.2
Argentavis,Argentavis magnificens,7.9,7.9
Pelagornis,Pelagornis stirtoni,3.0940000000000003,3.0940000000000003
Hongshanornis,Hongshanornis longicresta,121.2,127.2
Paraptenodytes,Paraptenodytes robustus,18.205000000000002,19.5
Corvus,Corvus pliocaenus,2.6723500000000002,2.6723500000000002
Corvus,Corvus annectens,1.29985,1.29985
Speotyto,Speotyto cunicularia,0.06885,3.35
Chaoyangia,Chaoyangia beishanensis,119.0,119.0
Cistothorus,Cistothorus brevis,0.156,0.156
Melanerpes,Melanerpes carolinus,0.06885,0.06885
Bartramia,Bartramia umatilla,7.6000000000000005,7.6000000000000005
Limnodromus,Limnodromus scolopaceus,0.06885,2.6
Ceramornis,Ceramornis major,68.3,68.3
Platydyptes,Platydyptes amiesi,23.45,24.5
Palaeortyx,Palaeortyx volans,8.470500000000001,8.470500000000001
Eoenantiornis,Eoenantiornis buhleri,125.93,125.93
Sterna,Sterna maxima,4.4665,4.4665
Martinavis,Martinavis cruzyensis,77.05,77.05
Patagopteryx,Patagopteryx deferrariisi,84.94999999999999,84.94999999999999
Milvago,Milvago brodkorbi,0.06885,0.06885
Toxostoma,Toxostoma rufum,0.06885,1.05
Eocuculus,Eocuculus cherpinae,31.15,35.55
Bohaiornis,Bohaiornis guoi,119.0,119.0
Falco,Falco cenchroides,0.00585,0.00585
Dendragapus,Dendragapus gillii,1.29985,1.29985
Phalacrocorax,Phalacrocorax destefanii,2.6723500000000002,2.6723500000000002
Lophortyx,Lophortyx shotwelli,7.6000000000000005,7.6000000000000005
Horezmavis,Horezmavis eocretacea,96.55,96.55
Larus,Larus pristinus,28.465,28.465
Pelecanoides,Pelecanoides urinatrix,0.06885,0.06885
Enantiophoenix,Enantiophoenix electrophyla,96.55,96.55
Tytthostonyx,Tytthostonyx glauconiticus,66.15,66.15
Pachycorioolithus,Pachycorioolithus jinyunensis,106.75,106.75
Palaeociconia,Palaeociconia australis,5.4,5.4
Paleosula,Paleosula stocktoni,11.95,13.789000000000001
Plegadis,Plegadis chihi,0.06885,0.06885
Presbyornis,Presbyornis recurvirostrus,44.95,44.95
Morus,Morus avitus,4.4665,14.895
Phasmagyps,Phasmagyps patritus,35.55,35.55
Puffinus,Puffinus tenuirostris,0.06885,4.4665
Zheroia,Zheroia kurochkini,39.65,39.65
Longicrusavis,Longicrusavis houi,127.2,127.2
Amitabha,Amitabha urbsinterdictensis,48.25,48.25
Gallornis,Gallornis straeleni,133.2,133.2
Diomedea,Diomedea thyridata,6.2895,6.2895
Sarmatosula,Sarmatosula dobrogensis,12.719999999999999,12.719999999999999
Aletornis,Aletornis nobilis,48.25,48.25
Haliaeetus,Haliaeetus leucocephalus,0.00585,1.29985
Primapus,Primapus lacki,51.9,51.9
Cygnus,Cygnus hibbardi,3.0940000000000003,3.0940000000000003
Erolia,Erolia penepusilla,14.785,14.785
Taubatornis,Taubatornis campbelli,22.185,22.185
Protomelanitta,Protomelanitta bakeri,11.95,11.95
Spheniscus,Spheniscus muizoni,12.719999999999999,12.719999999999999
Confuciusornis,Confuciusornis sanctus,126.22999999999999,126.22999999999999
Protoplotus,Protoplotus beauforti,49.95,49.95
Aegialornis,Aegialornis wetmorei,39.65,39.65
Branta,Branta canadensis,0.00585,3.35
Grus,Grus nannodes,7.6000000000000005,7.6000000000000005
Palaeospiza,Palaeospiza bella,35.55,35.55
Martinavis,Martinavis vincei,68.3,68.3
Puffinus,Puffinus opisthomelas,0.06885,1.29985
Telmabates,Telmabates howardae,42.900000000000006,42.900000000000006
Nestor,Nestor meridionalis,0.06885,0.06885
Tonsala,Tonsala hildegardae,31.0,31.0
Borvocarbo,Borvocarbo tardatus,18.205000000000002,18.205000000000002
Pica,Pica pica,0.06885,1.29985
Martinavis,Martinavis whetstonei,68.3,68.3
Boluochia,Boluochia zhengi,119.0,119.0
Larus,Larus oregonus,0.06885,1.29985
Colinus,Colinus suilium,0.06885,3.35
Theristicus,Theristicus wetmorei,0.06885,0.06885
Botauroides,Botauroides parvus,42.900000000000006,42.900000000000006
Mopsitta,Mopsitta tanta,51.9,51.9
Bathornis,Bathornis celeripes,33.599999999999994,33.599999999999994
Moho,Moho braccatus,0.00585,0.00585
Uria,Uria paleohesperis,4.4665,4.4665
Neophrontops,Neophrontops americanus,0.06885,1.29985
Rallus,Rallus elegans,0.06885,1.05
Accipiter,Accipiter striatus,0.063,0.156
Primocolius,Primocolius sigei,39.65,39.65
Odontopteryx,Odontopteryx toliapica,51.9,57.6
Messelastur,Messelastur gratulator,44.5,44.5
Falco,Falco readi,0.06885,0.06885
Eocathartes,Eocathartes robustus,44.55,44.55
Grallistrix,Grallistrix erdmani,0.00585,0.00585
