Species	Status
Crusafontina_kormosi	extinct
Crusafontina_magna	extinct
Crusafontina_minima	extinct
Crusafontina_vandeweerdi	extinct
Cryptomanis_gobiensis	extinct
Cryptophoca_maeotica	extinct
Cryptoprocta	extinct
Cryptoprocta_ferox	extant
Cryptoryctes	extinct
Cryptoryctes_kayi	extinct
Cryptotis	extinct
Cryptotis_adamsi	extinct
Cryptotis_kansasensis	extinct
Cryptotis_meadensis	extinct
Cryptotis_parva	extant
Cryptotopos	extinct
Cubacyon_transversidens	extant
Cubanycteris_silvai	extinct
Cuon	extinct
Cuon_alpinus	extinct
Cuvierimops	extinct
Cynarctoides_acridens	extinct
Cynarctoides_emryi	extinct
Cynarctoides_gawnae	extinct
Cynarctoides_harlowi	extinct
Cynarctoides_lemur	extinct
Cynarctoides_luskensis	extinct
Cynarctoides_roii	extinct
Cynarctoides_whistleri	extinct
Cynarctus	extinct
Cynarctus_crucidens	extinct
Cynarctus_galushai	extinct
Cynarctus_marylandica	extinct
Cynarctus_saxatilis	extinct
Cynarctus_voorhiesi	extinct
Cynarctus_wangi	extinct
Cynelos	extinct
Cynelos_caroniavorus	extinct
Cynelos_idoneus	extinct
Cynelos_malasi	extinct
Cynelos_sinapius	extinct
Cynictis	extinct
Cynictis_penicillata	extant
Cynodesmus_martini	extinct
Cynodesmus_thooides	extinct
Cynodictis	extinct
Cynodictis_lacustris	extinct
Cynotherium	extinct
Cynotherium_sardous	extinct
Cyonarctos_dessei	extinct
Cyonasua	extinct
Cyonasua_argentina	extinct
Cyonasua_groeberi	extinct
Cyonasua_pascuali	extinct
Cyrnaonyx	extinct
Cyrnaonyx_antiqua	extinct
Cystophora_cristata	extant
Daphoenictis	extinct
Daphoenictis_tedfordi	extinct
Daphoenodon	extinct
Daphoenodon_(Borocyon)_neomexicanus	extinct
Daphoenodon_(Borocyon)_niobrarensis	extinct
Daphoenodon_(Borocyon)_robustum	extinct
Daphoenodon_falkenbachi	extinct
Daphoenodon_notionastes	extinct
Daphoenodon_skinneri	extinct
Daphoenodon_superbus	extinct
Daphoenus	extinct
Daphoenus_felinus	extinct
Daphoenus_hartshornianus	extinct
Daphoenus_lambei	extinct
Daphoenus_ruber	extinct
Daphoenus_socialis	extinct
Daphoenus_vetus	extinct
Darbonetus_aubrelongensis	extinct
Darbonetus_tuberi	extinct
Dawsonicyon_isami	extinct
Deinsdorfia	extinct
Deinsdorfia_kerkhoffi	extinct
Delotrochanter_major	extinct
Delotrochanter_oryktes	extinct
Delotrochanter_petersoni	extinct
Desmatophoca	extinct
Desmatophoca_brachycephala	extinct
Desmatophoca_oregonensis	extinct
Desmatophocinae	extinct
Desmocyon	extinct
Desmocyon_matthewi	extinct
Desmocyon_thomsoni	extinct
Desmodus	extinct
Desmodus_archaeodaptes	extinct
Desmodus_draculae	extant
Desmodus_rotundus	extant
Desmodus_stocki	extinct
Devinophoca_claytoni	extinct
Devinophoca_emryi	extinct
Dhofarella_sigei	extinct
Dhofarella_thaleri	extinct
Diacocherus	extinct
Diacocherus_dockeryi	extinct
Diacocherus_meizon	extinct
Diacocherus_minutus	extinct
Diacodon_alticuspis	extinct
Diacodon_celatus	extinct
Diamantofelis_ferox	extinct
Diamantofelis_minor	extinct
Diclidurus	extinct
Didymictis	extinct
Didymictis_altidens	extinct
Didymictis_leptomylus	extinct
Didymictis_protenus	extinct
Didymictis_proteus	extinct
Didymictis_vancleveae	extinct
Dimylidae	extinct
Dimyloides	extinct
Dimyloides_stehlini	extinct
Dimylus_paradoxus	extinct
Dinaelurus_crassus	extinct
Dinailurictis_bonali	extinct
Dinictis	extinct
Dinictis_cyclops	extinct
Dinictis_felina	extinct
Dinocyon	extinct
Dinocyon_thenardi	extinct
Dinofelis	extinct
Dinofelis_palaeoonca	extinct
Dinogale_siouxensis	extinct
Dinosorex	extinct
Dinosorex_anatolicus	extinct
Dinosorex_engesseri	extinct
Dinosorex_huerzeleri	extinct
Dinosorex_pachygnathus	extinct
Dinosorex_sansaniensis	extinct
Dinosorex_zapfei	extinct
Dipassalus_oryctes	extinct
Diplomesodon	extinct
Dipsalidictis	extinct
Dipsalidictis_aequidens	extinct
Dipsalidictis_krausei	extinct
Dipsalidictis_platypus	extinct
Dipsalidictis_transiens	extinct
Dipsalodon	extinct
Dipsalodon_churchillorum	extinct
Dipsalodon_matthewi	extinct
Dizzya_exsultans	extinct
Domnina	extinct
Domnina_dakotensis	extinct
Domnina_gradata	extinct
Domnina_greeni	extinct
Domnina_sagittariensis	extinct
Domnina_thompsoni	extinct
Dormaalocyon_latouri	extinct
Drassonax_harpagops	extinct
Drepanodon	extinct
Drepanosorex	extinct
Dusicyon	extinct
Dusicyon_avus	extinct
Dusicyon_culpaeus	extinct
Dusicyon_sechurae	extinct
Dusignathinae	extinct
Dusignathus	extinct
Dusignathus_santacruzensis	extinct
Dusignathus_seftoni	extinct
Ectopocynus_antiquus	extinct
Ectopocynus_intermedius	extinct
Ectopocynus_simplicidens	extinct
Edaphocyon	extinct
Edaphocyon_lautus	extinct
Edaphocyon_palmeri	extinct
Edaphocyon_pointblankensis	extinct
Edzenius_lus	extinct
Eidolon	extinct
Eira_barbara	extant
Emballonuridae	extinct
Enaliarctidae	extinct
Enaliarctos_barnesi	extinct
Enaliarctos_emlongi	extinct
Enaliarctos_mealsi	extinct
Enaliarctos_mitchelli	extinct
Enaliarctos_tedfordi	extinct
Enhydra	extinct
Enhydra_lutris	extant
Enhydra_macrodonta	extinct
Enhydra_reevei	extinct
Enhydrictis	extinct
Enhydriodon	extinct
Enhydriodon_africanus	extinct
Enhydriodon_dikikae	extinct
Enhydriodon_ekecaman	extinct
Enhydriodon_falconeri	extinct
Enhydriodon_sivalensis	extinct
Enhydritherium	extinct
Enhydritherium_terraenovae	extinct
Enhydrocyon	extinct
Enhydrocyon_basilatus	extinct
Enhydrocyon_crassidens	extinct
Enhydrocyon_pahinsintewakpa	extinct
Enhydrocyon_stenocephalus	extinct
Eochiroptera	extinct
Eofelis	extinct
Eofelis_edwardsii	extinct
Eofelis_giganteus	extinct
Eogale_parydros	extinct
Eomellivora	extinct
Eomellivora_wimani	extinct
Eosoricodon_terrigena	extinct
Eotaria_citrica	extinct
Eotaria_crypta	extinct
Epicyon	extinct
Epicyon_aelurodontoides	extinct
Epicyon_haydeni	extinct
Epicyon_saevus	extinct
Epimachairodus	extinct
Episoriculus	extinct
Episoriculus_corsicanus	extinct
Episoriculus_gibberodon	extinct
Epoicotheriidae	extinct
Epoicotherium	extinct
Epoicotherium_unicum	extinct
Eppsinycteris_anglica	extinct
Eptesicus	extinct
Eptesicus_aurelianensis	extinct
Eptesicus_campanensis	extinct
Eptesicus_fuscus	extant
Eptesicus_praeglacialis	extinct
Erignathus	extinct
Erignathus_barbatus	extant
Erinaceomorpha	extinct
Ernanodon	extinct
Ernanodon_antelios	extinct
Ernosorex_jilinensis	extinct
Escavadodon_zygus	extinct
Eucyon	extinct
Eucyon_davisi	extinct
Eucyon_skinneri	extinct
Eumetopias	extinct
Eumetopias_jubata	extant
Eumetopias_kishidai	extinct
Eumops	extinct
Eumops_glaucinus	extant
Eumops_perotis	extant
Euoplocyon_brachygnathus	extinct
Euoplocyon_spissidens	extinct
Euronyctia	extinct
Euronyctia_belgica	extinct
Euronyctia_saturninensis	extinct
Eusmilus	extinct
Eusmilus_bidentatus	extinct
Eusmilus_sicarius	extinct
Eusmilus_villebramarensis	extinct
Exoedaenodus	extinct
Exoedaenodus_schaubi	extinct
Felidae	extinct
