Species	Status	min_age	max_age
Phalacrocorax	extinct	5.333	11.608
Anhinga_pannonica	extinct	5.333	11.608
Balaenicipitidae	extinct	5.333	11.608
Leptoptilos_falconeri	extinct	5.333	11.608
Francolinus	extinct	2.588	5.333
Aves	extinct	2.588	5.333
Francolinus	extinct	2.588	3.2
Francolinus	extinct	2.588	3.2
Bubo	extinct	2.588	3.2
Athene_veta	extinct	2.588	3.2
Surnia	extinct	2.588	3.2
Passeriformes	extinct	2.588	3.2
Rallidae	extinct	0.0117	5.333
Gallus	extinct	0.0117	5.333
Apus	extinct	0.0117	5.333
Passeriformes	extinct	0.0117	5.333
Aves	extinct	5.333	11.608
Aves	extinct	3.6	5.333
Francolinus	extinct	2.588	3.2
Falco	extinct	2.588	3.2
Passeriformes	extinct	2.588	3.2
Francolinus	extinct	2.588	3.2
Bubo	extinct	2.588	3.2
Surnia	extinct	2.588	3.2
Aquila_chrysaetos	extant	2.588	3.2
Aves	extinct	2.588	3.2
Aves	extinct	2.588	3.2
Anas	extinct	2.588	3.2
Aves	extinct	0.0117	5.333
Aves	extinct	0.781	2.588
Francolinus	extinct	0.781	2.588
Otis	extinct	0.781	2.588
Circus	extinct	0.781	2.588
Francolinus	extinct	0.781	2.588
Asio_flammeus	extant	0.781	2.588
Hirundo	extinct	0.781	2.588
Anser	extinct	0.781	2.588
Anatidae	extinct	0.781	2.588
Coturnix	extinct	0.781	2.588
Surnia	extinct	0.781	2.588
Athene	extinct	0.781	2.588
Falco	extinct	0.781	2.588
Falco	extinct	0.781	2.588
Hirundo	extinct	0.781	2.588
Passeriformes	extinct	0.781	2.588
Aves	extinct	0.781	2.588
Aves	extinct	0.126	0.781
Aves	extinct	0.126	0.781
Aves	extinct	0.126	0.781
Aves	extinct	0.126	0.781
Aves	extinct	0.126	0.781
Apus	extinct	0.126	0.781
Aves	extinct	0.126	0.781
Corvidae	extinct	0.126	0.781
Pyrrhocorax	extinct	0.126	0.781
Aves	extinct	0.126	0.781
Songzia_heidangkouensis	extinct	48.6	55.8
Aves	extinct	0.126	0.781
Casuarius	extinct	2.588	3.6
Aves	extinct	0.0117	2.588
Hesperornis	extinct	72.1	83.6
Hesperornis	extinct	72.1	83.6
Hesperornis	extinct	66	83.5
Hesperornis	extinct	70.6	83.5
Hesperornis_regalis	extinct	70.6	83.5
Zonotrichia	extinct	0.781	1.2
Aves	extinct	66	72.1
Hesperornis_regalis	extinct	72.1	83.6
Hesperornis_regalis	extinct	72.1	83.6
Ichthyornithiformes	extinct	70.6	83.5
Aves	extinct	0.0117	2.588
Aves	extinct	23.03	33.9
Aves	extinct	15.97	20.44
Gobipteryx_minuta	extinct	66	83.6
Aves	extinct	5.333	23.03
Avisaurus_gloriae	extinct	70.6	85.8
Aves	extinct	0.781	2.588
Hesperornithidae	extinct	66	72.1
Anas	extinct	0.0117	2.588
Meleagris_gallopavo	extant	0.0117	2.588
Ectopistes_migratorius	extant	0.0117	2.588
Passeriformes	extinct	0.0117	2.588
Aves	extinct	33.9	37.2
Aves	extinct	100.5	113
Ornithothoraces	extinct	100.5	113
Archaeopterygiformes	extinct	152.1	157.3
Prophaethontidae	extinct	41.3	47.8
Diogenornis_fragilis	extinct	48.6	58.7
Aquatilavipes_swiboldae	extinct	113	125
Aves	extinct	48.6	55.8
Musophagidae	extinct	48.6	55.8
Aves	extinct	41.3	47.8
Struthio	extinct	0.781	2.588
Hesperornis	extinct	70.6	83.5
Rhynchaeites_messelensis	extinct	40.4	48.6
Aves	extinct	0.781	2.588
Gavia	extinct	5.333	11.608
Falco	extinct	5.333	11.608
Bubo	extinct	0.0117	11.608
Telmabates_antiquus	extinct	37.2	48.6
Aves	extinct	37.2	48.6
Aves	extinct	33.9	37.2
Aves	extinct	33.9	37.2
Francolinus	extinct	0.781	2.588
Columba	extinct	0.781	2.588
Turdus	extinct	0.781	2.588
Struthio_asiaticus	extinct	0.0117	2.588
Francolinus	extinct	0.126	0.781
Anas	extinct	0.126	0.781
Anser	extinct	0.126	0.781
Cygnus	extinct	2.588	5.333
Struthio	extinct	2.588	5.333
Aves	extinct	5.333	23.03
Mergus	extinct	2.588	3.2
Anas	extinct	5.333	8.7
Aythya	extinct	5.333	8.7
