Species	Status
Eopengornis_martini	extinct
Eopuffinus_kazachstanensis	extinct
Eostega_lebedinskyi	extinct
Eostrix_martinellii	extinct
Eostrix_tsaganica	extinct
Ephippiorhynchus	extinct
Ephippiorhynchus_asiaticus	extinct
Eremochen_russelli	extinct
Eremopezus_eocaenus	extinct
Eremophila_alpestris	extinct
Eretiscus_tonnii	extinct
Ereunetes	extinct
Ereunetes_rayi	extinct
Ergilornithidae	extinct
Erolia	extinct
Erolia_minutilla	extinct
Erolia_penepusilla	extinct
Eudocimus	extinct
Eudocimus_leiseyi	extinct
Eudocimus_peruvianus	extinct
Eudromia	extinct
Eudyptes	extinct
Eudyptes_pachyrhynchus	extant
Eudyptula_minor	extant
Euenantiornithes	extinct
Euphagus	extinct
Eurofluvioviridavis_robustipes	extinct
Eurotrochilus	extinct
Eurotrochilus_inexpectatus	extinct
Euryapteryx	extinct
Euryapteryx_geranoides	extant
Eutelornis_patagonicus	extinct
Eutreptodactylus_itaboraiensis	extinct
Evgenavis_nobilis	extinct
Explorornis_nessovi	extinct
Explorornis_walkeri	extinct
Falco	extinct
Falco_cenchroides	extant
Falco_falconella	extinct
Falco_mexicanus	extant
Falconidae	extinct
Falconiformes	extinct
Falco_novaeseelandiae	extinct
Falco_oregonus	extinct
Falco_pisanus	extinct
Falco_readi	extinct
Falco_sparverius	extant
Feitianius_paradisi	extinct
Fissuravis_weigelti	extinct
Flexomornis_howei	extinct
Fluviatilavis_antunesi	extinct
Fluvioviridavis	extinct
Fluvioviridavis_platyrhamphus	extinct
Foetopterus_ambiguus	extinct
Fortunguavis_xiaotaizicus	extinct
Foudia	extinct
Francolinus	extinct
Fratercula	extinct
Fratercula_arctica	extant
Fratercula_cirrhata	extant
Fratercula_corniculata	extant
Fratercula_dowi	extinct
Fraterculini	extinct
Fregata_ariel	extant
Fregata_minor	extant
Fringillidae	extinct
Fulica	extinct
Fulica_americana	extant
Fulica_infelix	extinct
Fulica_minor	extinct
Fulica_podagrica	extant
Fulica_prisca	extant
Fulmarinae	extinct
Fulmarus	extinct
Fulmarus_glacialis	extant
Fulmarus_hammeri	extinct
Fulmarus_miocaenus	extinct
Fumicollis_hoffmani	extinct
Galliformes	extinct
Gallinago	extinct
Gallinago_azovica	extinct
Gallinago_gallinago	extinct
Gallinula	extinct
Gallinula_brodkorbi	extinct
Gallinula_chloropus	extant
Gallinula_mortierii	extant
Gallinuloides	extinct
Gallirallus	extinct
Gallirallus_australis	extant
Galloanserae	extinct
Gallornis_straeleni	extinct
Gallus	extinct
Gallus_gallus	extant
Gansugyps_linxiaensis	extinct
Gansus_yumenensis	extinct
Gargantuavis_philoinos	extinct
Gastornis	extinct
Gastornis_parisiensis	extinct
Gastornis_russelli	extinct
Gavia	extinct
Gavia_arctica	extinct
Gavia_brodkorbi	extinct
Gavia_concinna	extinct
Gavia_egeriana	extinct
Gavia_fortis	extinct
Gavia_howardae	extinct
Gavia_immer	extant
Gaviidae	extinct
Gaviiformes	extinct
Genyornis	extinct
Geochen_rhuax	extant
Geranoaetus	extinct
Geranoaetus_contortus	extinct
Geranoides_jepseni	extinct
Geranoididae	extinct
Geranopterus_alatus	extinct
Geranopterus_milneedwardsi	extinct
Geronogyps_reliquus	extinct
Gigantornis	extinct
Gigantornis_eaglesomei	extinct
Glaucidium	extinct
Glaucidium_dickinsoni	extinct
Glaucidium_explorator	extinct
Glaucionetta	extinct
Glossopsitta_concinna	extant
Gobipipus_reshetovi	extinct
Gobipteryx	extinct
Gobipteryx_minuta	extinct
Goliathia_andrewsi	extinct
Grabauornis_lingyuanensis	extinct
Gracilitarsus_mirabilis	extinct
Gracilornis_jiufotangensis	extinct
Graculavidae	extinct
Graculavus	extinct
Graculavus_velox	extinct
Gradiornis_walbeckensis	extinct
Grallistrix_auceps	extant
Grallistrix_erdmani	extant
Grallistrix_geleches	extinct
Grallistrix_orion	extinct
Gruidae	extinct
Gruiformes	extinct
Grus	extinct
Grus_americana	extinct
Grus_antigone	extinct
Grus_canadensis	extant
Grus_grus	extant
Grus_marshi	extinct
Grus_nannodes	extinct
Grus_pratensis	extinct
Gurilynia_nessovi	extinct
Gygis_alba	extant
Gymnogyps	extinct
Gymnogyps_californianus	extinct
Gymnogyps_howardae	extinct
Gymnogyps_kofordi	extinct
Gypaetinae	extinct
Gypaetus_barbatus	extinct
Hadrogyps_aigialeus	extinct
Haematopus	extinct
Haematopus_finschi	extinct
Haematopus_ostralegus	extinct
Haematopus_palliatus	extinct
Haematopus_unicolor	extinct
Hakawai_melvillei	extinct
Halcyornithidae	extinct
Haliaeetus	extinct
Haliaeetus_albicilla	extant
Haliaeetus_leucocephalus	extant
Halimornis_thompsoni	extinct
Harpagornis	extinct
Harpagornis_moorei	extinct
Heliadornis_ashbyi	extinct
Helonetta_brodkorbi	extinct
Hemiphaga	extinct
Hemiphaga_novaeseelandiae	extant
Hesperornis	extinct
Hesperornis_crassipes	extinct
Hesperornis_gracilis	extinct
Hesperornis_montana	extinct
Hesperornis_regalis	extinct
Hesperornis_rossicus	extinct
Hesperornithidae	extinct
Hesperornithiformes	extinct
Heterostrix_tatsinensis	extinct
Himantopus	extinct
Hirundinidae	extinct
Hirundo	extinct
Hoazinoides_magdalenae	extinct
Hokkaidornis_abashiriensis	extinct
Holbotia_ponomarenkoi	extinct
Hollanda_luceria	extinct
Hongshanornis_longicresta	extinct
Horezmavis_eocretacea	extinct
Huoshanornis_huji	extinct
Hwangsanipes_choughi	extinct
Hydrobatidae	extinct
Hydrochelidon	extinct
Hylocichla	extinct
Hymenolaimus_malacorhynchos	extinct
Iaceornis_marshi	extinct
Iberomesornis	extinct
Iberomesornis_romerali	extinct
Icadyptes_salasi	extinct
Ichthyornis	extinct
Ichthyornis_dispar	extinct
Ichthyornis_maltshevskyi	extinct
Ichthyornis_minusculus	extinct
Ichthyornithiformes	extinct
Icterinae	extinct
Icterus	extinct
Idiornis_gaillardi	extinct
Ilbandornis	extinct
Ilerdopteryx_viai	extinct
Incolornis_martini	extinct
Incolornis_silvae	extinct
Inguza_predemersus	extinct
Inkayacu_paracasensis	extinct
Intiornis_inexpectatus	extinct
Itaboravis_elaphrocnemoides	extinct
Iteravis	extinct
Ixobrychus_exilis	extinct
Jabiru_mycteria	extinct
Jacana	extinct
Jacana_farrandi	extinct
Jacana_spinosa	extinct
Janipes_nymphaeobates	extinct
Jeholornis	extinct
Jeholornis_curvipes	extinct
Jeholornis_palmapenis	extinct
Jeholornis_prima	extinct
Jianchangornis_microdonta	extinct
Jibeinia_luanhera	extinct
Jiliniornis_huadianensis	extinct
Jindongornipes_kimi	extinct
Jinzhouornis_yixianensis	extinct
Jinzhouornis_zhangjiyingia	extinct
Jiuquanornis_niui	extinct
Jixiangornis_orientalis	extinct
Judinornis_nogontsavensis	extinct
Juehuaornis_zhangi	extinct
Juncitarsus_gracillimus	extinct
Junco	extinct
Junco_hyemalis	extinct
Jungornithidae	extinct
Kaiika_maxwelli	extinct
Kairuku	extinct
Kairuku_grebneffi	extinct
Kairuku_waitaki	extinct
Kelenken_guillermoi	extinct
