Species	Status	min_age	max_age
Didymictis_proteus	extinct	55.8	56.8
Palaeonictis_occidentalis	extinct	55.8	56.8
Palaeonictis_occidentalis	extinct	55.8	56.8
Didymictis	extinct	50.3	55.8
Miacis	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Miacis_latidens	extinct	50.3	55.8
Miacidae	extinct	50.3	55.8
Uintacyon_massetericus	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Miacis_latidens	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Uintacyon_asodes	extinct	50.3	55.8
Vulpavus_australis	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Palaeonictis_occidentalis	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Didymictis	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Viverravus_politus	extinct	50.3	55.8
Uintacyon_massetericus	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Oxyaena_intermedia	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Oxyaena_intermedia	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Oxyaena_intermedia	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Oxyaena_intermedia	extinct	50.3	55.8
Oxyaena_intermedia	extinct	50.3	55.8
Miacis_latidens	extinct	50.3	55.8
Oxyaena_forcipata	extinct	50.3	55.8
Miacis_latidens	extinct	50.3	55.8
Didymictis_altidens	extinct	50.3	55.8
Vulpavus_australis	extinct	50.3	55.8
Vulpavus_canavus	extinct	50.3	55.8
Oxyaena_pardalis	extinct	50.3	55.8
Didymictis_altidens	extinct	50.3	55.8
Uintacyon_edax	extinct	46.2	50.3
Oxyaena_pardalis	extinct	50.3	55.8
Oxyaena_gulo	extinct	50.3	55.8
Didymictis_altidens	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Didymictis_protenus	extinct	50.3	55.8
Creodonta	extinct	50.3	55.8
Creodonta	extinct	50.3	55.8
Oxyaenidae	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Oxyaenidae	extinct	50.3	55.8
Uintacyon_massetericus	extinct	50.3	55.8
Oxyaenidae	extinct	50.3	55.8
Nyctitherium	extinct	50.3	55.8
Oxyaenidae	extinct	50.3	55.8
Ambloctonus	extinct	50.3	55.8
Viverravidae	extinct	50.3	55.8
Diacodon_alticuspis	extinct	50.3	55.8
Viverravus_acutus	extinct	50.3	55.8
Miacis_exiguus	extinct	50.3	55.8
Leptacodon	extinct	50.3	55.8
Creodonta	extinct	50.3	55.8
Miacidae	extinct	50.3	55.8
Oxyaena_lupina	extinct	50.3	55.8
Didymictis_protenus	extinct	50.3	55.8
Leptacodon_catulus	extinct	50.3	55.8
Viverravus_lutosus	extinct	50.3	55.8
Nyctitheriidae	extinct	50.3	55.8
Oxyaena_lupina	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Viverravus_acutus	extinct	50.3	55.8
Vulpavus	extinct	50.3	55.8
Plagioctenodon_savagei	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Viverravus	extinct	50.3	55.8
Machaeroides_simpsoni	extinct	50.3	55.8
Talpavoides_dartoni	extinct	50.3	55.8
Dipsalidictis_transiens	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Miacis_exiguus	extinct	50.3	55.8
Talpavoides_dartoni	extinct	50.3	55.8
Miacis_exiguus	extinct	50.3	55.8
Viverravus_acutus	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Oxyaena_lupina	extinct	50.3	55.8
Ambloctonus_major	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Viverravus_acutus	extinct	50.3	55.8
Vulpavus_australis	extinct	50.3	55.8
Nyctitherium	extinct	50.3	55.8
Dipsalidictis_transiens	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Viverravus_acutus	extinct	50.3	55.8
Miacis_exiguus	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Leptacodon	extinct	50.3	55.8
Nyctitherium	extinct	50.3	55.8
Talpavus	extinct	50.3	55.8
Dipsalidictis_transiens	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Viverravus_acutus	extinct	50.3	55.8
Miacis_exiguus	extinct	50.3	55.8
Oxyaenidae	extinct	50.3	55.8
Didymictis_altidens	extinct	50.3	55.8
Miacis_latidens	extinct	50.3	55.8
Vulpavus	extinct	50.3	55.8
Plagioctenodon_krausae	extinct	50.3	55.8
Plagioctenoides_microlestes	extinct	50.3	55.8
Dipsalidictis_transiens	extinct	50.3	55.8
Palaeonictis_occidentalis	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Viverravus_acutus	extinct	50.3	55.8
Viverravus_politus	extinct	50.3	55.8
Uintacyon_rudis	extinct	50.3	55.8
Miacis	extinct	50.3	55.8
Pontifactor	extinct	50.3	55.8
Plagioctenodon_krausae	extinct	50.3	55.8
Talpavoides_dartoni	extinct	50.3	55.8
Plagioctenoides_microlestes	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Viverravus_acutus	extinct	50.3	55.8
Uintacyon_rudis	extinct	50.3	55.8
Miacidae	extinct	50.3	55.8
Miacidae	extinct	50.3	55.8
Oxyaenidae	extinct	50.3	55.8
Oodectes	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Viverravus	extinct	50.3	55.8
Parapternodus_antiquus	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Palaeonictis_occidentalis	extinct	50.3	55.8
Plagioctenodon_krausae	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Viverravus_acutus	extinct	50.3	55.8
Miacidae	extinct	50.3	55.8
Dipsalidictis_transiens	extinct	50.3	55.8
